EDRPOU,Name,Address,Contacts,KOATUU,Кількість відходів по ПЗУВ,Кількість відходів в тоннах,Відходи I класу,Відходи II класу,Відходи III класу,Відходи IV класу
36265925,"Дочірнє підприємство ""УКРАВТОГАЗ"" Національної акціонерної компанії ""Нафтогаз України""РВУ ""Київавтогаз"" АГНКСNo2 м.Одеса","03134, м.Київ, Святошинський р-н, вул.Григоровича-Барського, буд.2(м.Одеса,Тираспольське шосе, 24-а)",maznich@ukr.net/0503121869,5110137300,70836.15099999993,3810.8686000000007,3.3245999999999856,52.05900000000001,498.53399999999885,3256.951000000004
30603572,Підприємство з іноземними інвестиціями «АМІК УКРАЇНА» (АЗС 07-01),"04071, м. Київ, Подільський р-н, вул. Верхній Вал, буд. 68 (м. Ужгород)",esavchenko@amicenergy.com.ua/0504120216,2110100000,66416.30499999977,7977.398300000006,4.8142,0.0,701.4841000000004,7271.100000000005
31929492,"ПП ""Таврія Плюс""","65091, м. Одеса, вул. М'ясоїдівська, 14; м. Одеса, пр. Добровольского, 123",tavria1plus@ukr.net/(0482) 307321,5110137600,62398.47600000005,48269.81000000001,1.278,1.1,146.75599999999997,48120.67600000003
32049199,"ТОВ ""Метро Кеш енд Кері Україна"" (філія у м.Одесі)","02140, м.Київ, пр. П.Григоренка, 43 (65033, м.Одеса, вул. Аеропортівська, 29)",andrii.hrys@metro.ua/050-355-29-78,5110137300,61243.602999999996,25224.995899999987,6.2519,7.274999999999999,23.166,25188.303
32490244,"Товариство з обмеженою відповідальністю ""Епіцентр К""","02139, м. Київ, вул. Берковецька, 6 К",sh.tehdir@epicentrk.com/0952724279,6810700000,45883.42980000002,10515.366399999994,5.7809,8.730899999999998,43.114799999999995,10457.739800000005
36003603,"Товариство з обмеженою відповідальністю «Новус Україна», магазин No 1034","04112, м. Київ, Шевченківський р-н, вул. Дегтярівська,52",fariz.kurbanov@novus.com.ua/044- 585-41-70,3210500000,43251.963999999985,17258.665399999994,5.129400000000002,0.0,7.171999999999997,17246.364000000005
22048622,"Баранівський РЕМ АТ ""Житомиробленерго""","м. Житомир, вул. Пушкінська 32/8 (смт.Баранівка, Першотравенська, 21)",E.Duplyak@bnres.ztoe.com.ua/04144 4 21 48,1820610100,40609.5938,1547.1128999999994,5.653500000000001,17.954200000000004,37.581399999999974,1485.9237999999996
00191678,"КП ""Компанія ""Вода Донбасу"" (Регіональне управління з експлуатації каналу)","87547, м.Маріуполь, вул.К Лібкнехта,буд.177а (84112, м.Слов'янськ, вул.Університетська,буд.13)",ruek@donvoda.com/(0624)53-46-05,1410600000,39711.245800000004,11007.564600000002,1.9769999999999994,36.7068,10.285,10958.595800000003
00131529,"ПрАТ ""Закарпаттяобленерго"" - Ужгородський МРЕМ","Ужгородський р-н, с.Оноківці, вул.Головна,57",vtv-eko1@uz.energy.gov.ua/(0312)61-55-54,2124800000,35727.1153,2511.0725999999995,1.5719999999999992,48.419300000000014,24.41600000000001,2436.6652999999988
21560766,ПАТ «Укртелеком» Вінницька філія,"м. Київ б-р Т. Шевченка,18, 01601",vfaiden@ukrtelecom.ua/(0432)61-15-10,0525310100,29417.039000000004,6472.377599999999,4.2616,3.061,2.3159999999999985,6462.739000000001
05581898,"Приватне акціонерне товариство ""Полтавське хлібоприймальне підприємство""","36009, Полтавська область, м. Полтава, площа Павленківська, 24",/05744-70-7-11,6323310100,27390.589399999997,21617.263300000006,0.5419000000000002,5.259999999999999,8.972000000000001,21602.489400000002
38305367,ТОВ « CОКАР ПЕТРОЛЕУМ» АЗС 03/4,"18001, м. Черкаси, вул. Надпільна, буд. 226/1",info@socar.ua/0472-55-28-61,8038200000,27102.242000000013,9436.574100000005,2.4180999999999955,3.5840000000000014,77.33,9353.241999999991
41161689,"ТОВ ""Оптімусагро Трейд"" Виробничий підрозділ ""Запорізький олійноекстракційний завод""","49033, м. Дніпро, пр. Б. Хмельницького, 122, корп. Е-5, кімн. 11",optimus@optimus.com.ua/0617664349,2310137500,26929.961,21053.4035,0.6207,3.2512999999999996,23.4955,21026.035999999996
03340920,"Жовтоводська дільниця Кам'янського відділення ПАТ ""Дніпропетровськгаз""","49000, м. Дніпро, вул. Шевченка, буд. 2",Viktoriia.Kartynnik@dpgas.com.ua/067-610-79-83,1210700000,26607.670399999988,4129.216800000002,1.8688000000000007,23.32569999999999,30.546899999999983,4073.4754000000007
40081221,"Виробничий підрозділ медико-реабілітаційний центр лікарні с. Клубівка Регіональна філія ""Південно-Західна залізниця"" ПАТ ""Укрзалізниця""","03680, м. Київ, вул. Тверська, 5",klubb@sw.uz.qov.uv/(03852)38309,6822182601,26258.27399999999,2514.0952,2.652799999999999,15.186399999999997,59.282,2436.9739999999997
30841082,"Товариство з обмеженою відповідальністю ""ОККО-РІТЕЙЛ"" ( АЗС No8)","82660, Львівська обл., Сколівський район, смт Славське, вул. Івана Франка,14-А",/(067)691-00-71,6310136300,25250.111,10724.166700000002,0.5157,21.68259999999999,23.0274,10678.941000000003
30739270,"Сільськогосподарське товариство з обмеженою відповідальністю ""МРІЯ""","63751, Харківська область, Куп’янський район, с. Глушківка",/05742-2-90-52,6323781001,24508.090000000004,14801.789999999995,0.9000000000000002,8.0,24.8,14768.089999999995
03337119,"Обласне комунальне підприємство ""Донецьктеплокомуненерго"" Відокремлений підрозділ Виробнича одиниця ""Димитровтепломережа"" Експлуатаційно-ремонтний тепловий район No1 (м.Мирноград)","84307, Донецька область, м.Краматорськ, пров.Земляний, буд.2 (м.Мирноград, м-н Молодіжний, 16)",ecology@kpdtke.com.ua/0508150097,1411300000,24363.8117,6518.016699999998,0.8311000000000005,26.602300000000003,8.5016,6482.0817
25564175,СПІЛЬНЕ УКРАЇНСЬКО-ВЕЛИКОБРИТАНСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «НИВА ПЕРЕЯСЛАВЩИНИ» (Cвинокомплекс No10),"08420, Київська обл., Переяслав-Хмельницький р-н, с. Переяславське, вул. Привокзальна, буд. 2",t.smashna@niva-sa.com.ua/(050)381 60 49,3220288701,20994.243,6648.054,2.811,0.0,6.0,6639.243
32498835,"ТзОВ ""Агідель""","45612 Луцький район, смт Торчин,вул.Незалежності,106",t.povkh@pankurchak.com.ua/783134,0710100000,20297.839999999997,10289.841999999997,2.002,0.0,0.0,10287.839999999997
30728887,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""НОВА ЛІНІЯ""","08162, Київська обл., Києво-Святошинський район, селище міського типу Чабани, ОДЕСЬКЕ ШОСЕ, буд. 8",a.bondarenko3@nl.ua/(044)206-37-82,3222457400,19064.527,3565.0948999999996,2.8968,2.0260000000000002,0.1501,3560.022000000001
34430873,"Товариство з обмеженою відповідальністю «Альянс Холдинг» АЗС No2107 Кіровоградська обл., Кіровоградський р-н, с. Соколівське, вул. Будівельна, б. 74","м. Київ, вул. Миколи Грінченка, буд. 4",oleg.sluzhalyuk@shell.com/0672232394,3522587201,18843.883000000023,4687.7522,2.1181999999999976,0.0,72.80099999999993,4612.832999999999
30767795,"Товариство з обмеженою відповідальністю ""АГРОФІРМА ""ПІСЧАНСЬКА""","63350, Харківська область, Красноградський район, с. Мартинівка, вул. Центральна",/05744-9-41-77,6323382501,18214.079999999998,9072.425,1.185,5.5,9.66,9056.080000000002
40380506,"ТОВ ""Профі Смарт Трейд""","18002,м.Черкаси,бульвар Шевченка,208(факт.: АЗСNo108 Звенигородський р- н,с.Моринці,вул.Щепкіна,144)",i.poda@oilukraine.ck.ua/(0472)54-37-56,7121284001,17797.994999999984,143.51199999999994,3.087,3.149999999999997,13.28000000000001,123.99499999999996
37243279,"Публічне акціонерне товариство ""Державна продовольчо-зернова корпорація України"" (філія публічного акціонерного товариства ""Державна продовольчо-зернова корпорація України"" ""Ізюмський комбінат хлібопродуктів""""","01033, м. Київ, вул. Саксаганського, 1",/05743 50 945,6322884501,17630.686,8758.1115,1.5145,1.051,15.86,8739.686000000002
40123454,"ВСП ""Львівський центр механізації колійних робіт"" філія ""ЦРУЛМ"" АТ ""Укрзалізниця""","вул. Тверська, 5, м. Київ",/0352 29 51 04,6125281901,17288.013,1488.1433000000002,1.0873000000000002,19.935000000000002,8.508000000000001,1458.6129999999998
31517060,"Державне підприємство ""Укрхімтрансаміак"" (Придніпровське управління магістрального аміакопроводу, НС-10)","02002, м. Київ, Дніпровський район, вул. Є. Сверстюка, 15",vtv.puma@gmail.com/05745 2 25 12,6323982005,17145.934000000005,936.2539999999997,1.0977000000000003,13.393299999999998,82.42900000000002,839.3340000000003
04694614,"АТ ""УКРТРАНСГАЗ"" (ГКС ""Задніпровська"" Кременчуцького ЛВУМГ філії УМГ ""ЧЕРКАСИТРАНСГАЗ"")",01021 м.Київ Кловський узвіз 9/1,khomenko-na@utg.ua/(0536)767207,3525286900,17028.353600000002,143.45649999999998,2.34,10.186999999999996,2.1209000000000002,128.80860000000004
21642228,"Спільне українсько-естонське підприємство у формі товариства з обмеженою відповідальністю ""Оптіма-Фарм, ЛТД""","01103, м.Київ,вул.Кіквідзе,18а",nparahnevich@optimapharm.ua/0444905353,2610100000,16332.935999999998,2142.2747,2.8386999999999993,0.0,0.0,2139.436
30982361,"ТОВ ""Омега""","49041 м. Дніпро, вул. Понікахи, буд 15",va515_top1@v515.varus.ua/095-579-98-99,8038600000,16329.821900000006,9165.755000000001,1.4331000000000003,0.0,0.0,9164.321900000003
32284263,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОНОНІВСЬКИЙ ЕЛЕВАТОР"" (Лозівська дільниця)","36014, Полтавська область, м.Полтава, площаПавленківська, 24",/057-45-2-24-96,6311000000,16246.923000000003,13174.783900000002,0.34890000000000004,2.388999999999999,2.7729999999999997,13169.273000000001
26112328,"ПрАТ ""АК ""Київводоканал""","01015, м. Київ, вул. Лейпцизька, 1а",lbarbiier@vodokanal.kiev.ua/418-34-26,8036600000,15845.062399999999,589.1364,1.0420000000000003,13.906000000000002,63.42600000000001,510.7624000000001
32677651,"Товариство з обмеженою відповідальністю ""Альфа Моторз""","61080, м. Харків, проспект Гагаріна, 314 Б, Основ'янський район",zakon@honda.kh.ua/(057)704-10-22,6310138800,15356.011999999997,499.26250000000016,0.46950000000000025,23.974000000000004,11.157,463.66200000000003
36387249,"Товариство з обмеженою відповідальністю ""Фудмережа""","01103, м. Київ, Печерський район, Залізничне шосе, 57",Naavgust_DA@welcash.kiev.ua/0674131791,0710100000,15229.326,4781.415999999999,2.0900000000000003,0.0,0.0,4779.325999999999
24596990,"Дочірнє підприємство ""Кюне і Нагель""","08290, Київська обл. м. Ірпінь, смт. Гостомель, вул. Садова, 26 а",nataliya.doshchechkina@kuehne-nagel.com/0675553768,3222485903,14897.990999999998,1696.1510000000003,1.5550000000000002,0.30800000000000005,107.64699999999998,1586.641
31860551,"ТОВ ""НВФ ""Урожай"" (Лисянська філія), Черкаська область, Лисянський район, с. Чаплинка","Черкаська область, Корсунь-Шевченківський район, с. Корнилівка, вул. Шкільна, 4",a.osokin@mhp.com.ua/0676076844,7122888001,14593.814500000002,264.5969,1.1493999999999998,13.734999999999996,35.297999999999995,214.4145
38916558,"Товариство з обмеженою відповідальністю ""Альвар""","01103 м. Київ, Залізничне шосе,57 (м. Черкаси, вул. Припортова,34",orlova@kishenya.ua/0674131938,7110136400,14557.249999999995,4694.223,1.9729999999999988,0.0,0.0,4692.25
35737530,"Товариство з обмеженою відповідальністю «Теплик - Агро» 23850, Вінницька обл., Теплицький р-н, с.Веселівка","23814, Вінницька область, Теплицький р-н, с.Степанівка, вул.Незалежності, буд.30",teplic-agro@ukr.net/0965533780,0523781601,14411.358,700.2795999999998,0.08160000000000002,23.699999999999996,30.140000000000008,646.3580000000001
32619343,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ЯСЕНСВІТ»,"09632, Київська обл., Рокитнянський р-н, с. Ромашки, вул. Покровська, 22-А",matri-eco@ukr.net/044-389 38 70,3221484001,14144.300000000003,9634.278000000002,0.7480000000000002,0.0,15.730000000000002,9617.800000000001
00381574,"ПрАТ ""Київхліб"", виробничий цех No 4","04080, м. Київ, вул. Межигірська, 83",i.kovalchuk@khleb.com.ua/206-75-97,8039100000,13762.638,4046.527,1.7090000000000003,0.30000000000000004,20.88,4023.6379999999995
38658854,"Товариство з обмеженою відповідальністю ""ТД Комета""","10069, Дніпропетровська обл, м. Кривий Ріг, вул. Технічна, буд.11","s.b.s.-57@ukr.net/0675394412,",3524010100,13397.842000000002,7464.0268,0.39199999999999996,6.7700000000000005,12.162800000000004,7444.702
37776078,"ТОВ ""ОККО-СХІД"" (АЗС No9)","82660, Львівська обл, Сколівський р-н, смт. Славське,вул. Івана Франка, 14-А",atonkoshkur@gng.com.ua/067 313 12 72,1221881301,13346.994500000004,3998.6410000000005,0.5499999999999999,0.0,134.67150000000007,3863.4194999999995
25611360,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ХАДО-Холдінг»,"61103, місто Харків, Шевченківський район, провулок Двадцять Третього Серпня, будинок 4",not@xado.com/+380504028206,6310137900,13287.252000000002,3201.934,1.084,5.470000000000001,39.528,3155.8520000000003
03361402,"ПАТ ""Черкасигаз""","Черкаська обл., м.Черкаси, вул М.Залізняка,142,18000/факт. адр. м.Чигирин, вул. Гагаріна 17а, 20901",voevoda@chergas.ck.ua/(0472)71-19-23,7125410100,13135.190000000006,379.3571000000001,2.2002999999999995,3.3897999999999997,1.3269999999999995,372.43999999999994
37346355,"Комунальне підприємство ""Тепловодосервіс"" Лозівської районної ради","64621, Харківська обл, Лозівський р-н, смт.Краснопавлівка, мікрорайон, б.16",/05745-6-72-73,6323955700,13108.415,10362.541,0.41,0.424,9.892,10351.815
38316777,"ТзОВ ""Альянс Маркет""","03186, м. Київ, вул. Соціалістична, буд. 5, корпус 2",//03244/ 3-99-9,4610136600,13106.9,3524.470500000001,1.9004999999999999,0.0,1.6700000000000004,3520.8999999999996
14282829,"АТ ""Перший Український Міжнародний Банк""","вул. Андріївська, 4, м. Київ, 04070",Andrey.Gudz.ua@pumb.ua/0503416699,2310100000,12843.3113,1304.4262999999999,1.6420000000000003,2.809,39.36399999999998,1260.6113
01993807,Комунальна організація «Київмедспецтранс»,"04119, м. Київ, вул. Дегтярівська, 25",nfo@medavto.com/536-04-30,8039100000,12804.739000000001,5380.1849999999995,0.8089999999999999,0.0,68.987,5310.389
40769689,"ТОВ ""АКТИВ СТИЛЬ""","18002,м.Черкаси,бульвар Шевченка,266, офіс 417/1(факт: АЗСNo105 м. Канів, вул. Київська,36)",i.poda@oilukraine.ck.ua/(0472)54-37-56,7110300000,12701.369999999992,120.13499999999985,2.2049999999999987,2.150000000000001,9.910000000000002,105.86999999999995
41022900,"ВП Український центр по обслуговуванню пасажирів на залізничному транспорті філії ""Пасажирська компанія"" АТ ""Укрзалізниця""","03680, м. Київ, вул. Тверська, 5",Ukrainets@sw.uz.gov.ua/309-70-12,8039100000,11935.485000000002,4125.1415,1.5564999999999998,0.0,0.6,4122.985000000001
37278275,"ПП ""Нафтотермінал"", дільниця ""Ярмолинецька нафтобаза""","79056, м. Львів, вул. Пластова, 1",KSnisarenko@gng.com.ua/0673414165,6825855100,11635.746,390.35699999999986,0.27600000000000013,17.156000000000002,26.628999999999994,346.29600000000005
01387432,"ПАТ ""КИЇВМЕТРОБУД""","08135, Київська обл., Києво-Святошинський р-н, с.Чайки, вул. Валентини Чайки, буд.16",mudrik.1953n@gmail.com/044-408-67-64,8039100000,11605.548999999999,3084.7534999999993,1.7044999999999995,0.0,0.0,3083.049
00493741,ХАРКІВСЬКИЙ НАЦІОНАЛЬНИЙ ТЕХНІЧНИЙ УНІВЕРСИТЕТ СІЛЬСЬКОГО ГОСПОДАРСТВА ІМЕНІ ПЕТРА ВАСИЛЕНКА,"61002, м. Харків, Київський район, вул. Алчевських, буд.44",info@khntusg.com.ua/(057)700-38-88,6310136600,11563.177,2513.9840000000004,1.2610000000000001,0.755,48.341,2463.6269999999995
38194448,"ТОВ «Татнєфть-АЗС-Україна» (нафтобаза «Барвінківська», АЗС NoNo 201, 205, 210, 216, 301, 302, 303, 304, 402, 403, 503)","36010, Полтавська обл., м.Полтава, вул. Половки, 62",tb@aopnp.com/(0532) 610149,6300000000,11216.238,2413.2718,0.7128000000000001,2.6199999999999997,80.25100000000002,2329.687999999999
01033255,"Приватне акціонерне товариство ""Микитівський гранітний кар`єр"" (3 площадка - Софієвський гранітний кар`єр"")","56530, Миколаївська обл.,Вознесенський район, селище міського типу Олександрівка",eco.mykolaiv@gmail.com/(0512) 500070,4824585001,11191.045999999998,3822.7073,0.0143,13.329999999999998,13.167,3796.1959999999995
40199749,Комунальний заклад охорони здоров’я «Лозівське територіальне медичне обʼєднання» Лозівської міської ради Харківської області (Лозівська міська поліклініка No1),"64604, Харківська область, м.Лозова, вул.Машинобудівників, 29",/0950029000,6311000000,11129.426000000003,3557.8679999999995,1.4419999999999997,0.4799999999999999,2.5200000000000005,3553.4260000000004
37199618,"ДЕРЖАВНЕ ПІДПРИЄМСТВО СПИРТОВОЇ ТА ЛІКЕРО-ГОРІЛЧАНОЇ ПРОМИСЛОВОСТІ ""УКРСПИРТ"" Косарське місце провадження діяльності та зберігання спирту","07400, Київська обл., м.Бровари, вул.Гагаріна, б.16 (Камянський р-н, с.Косарі, вул.Холодноярська, 1)",info.kosari@ukrspirt.com/(04732)97-9-60,7121882501,10843.105799999998,3882.8199000000013,0.8663000000000001,5.0120000000000005,2.6258,3874.3158000000003
38806862,"ТОВ ""Медичний центр ""Добробут - Поліклініка""","02140, м. Київ, вул. Мішуги, 12",vatsenyuk.I@med.dobrobut.com/044-495-28-88,8036300000,10792.4,1380.428,1.6199999999999994,0.0,26.808000000000003,1352.0
31496816,"Товариство з обмеженою відповідальністю ""Волинь-зерно-продукт""","Вол. обл., Ківерц. р-н, с.Липляни,вул.Козацька 22 (Рівненська обл., смт.Млинів вул. Покровська,53)",voitovich@vzp.com.ua/0978036744,5623855100,10407.325,5506.139900000001,0.6449,2.8650000000000007,5.055000000000001,5497.575000000002
41482464,"ТОВ ""АЗС-Ч""","18002,м.Черкаси, вул.Святотроїцька, 55-А (факт.: АЗСNo1, м.Черкаси, вул.Сумгаїтська, 10)",m.zubachova@oilukraine.ck.ua/0472-54-37-56,7110136700,10371.634999999997,81.05999999999995,1.6649999999999991,3.2000000000000006,7.559999999999998,68.63499999999995
03874702,"ТОВ ""ВОГ РИТЕЙЛ""","43010, м.Луцьк, вул.Кременська,38 (Луцький р-н, с.Струмівка, вул.Рівненська,120 а)",ruslan.yarmoshuk@wog.ua/(0332)200984,0722884803,10134.199999999986,1184.1200000000003,0.7200000000000005,0.0,109.19999999999997,1074.1999999999996
30035671,"Товариство з обмеженою відповідальністю ""ОЛІМП""","61140, м.Харків, Слобідський район, проспект Гагаріна, 119",offict@cerealcom.ua/(057)775-81-33,6321689600,10044.096,8685.8805,0.22350000000000003,0.36,1.2510000000000001,8684.045999999998
40081389,"ВП ""Кам'яницький кар'єр"" філії ""Центр управління промисловістю"" АТ ""Укрзалізниця""","м. Київ, вул. Івана Федорова, 32 (Ужгородський район, с. Кам'яниця)",kamkarer@gmail.com/0312731771,2124882901,9972.7971,2721.4392000000007,0.27810000000000007,9.321000000000002,24.692999999999998,2687.147100000001
31648153,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «СЕРВІС СОЛЮШНЗ»,"07400, Київська обл., м. Бровари, вул. Богунського, 26",service@servise-solutions.com.ua/044-490-07-77,8036400000,9839.16,54.867999999999995,1.9319999999999997,0.0,2.5760000000000005,50.36
31834605,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГУТЯНСЬКИЙ ЕЛЕВАТОР"" (Шевченківська дільниця)","36029, м. Польава, пл. Павленківська,24",/057-51-5-16-97,6325755100,9525.243,5641.64,0.6120000000000002,1.12,5.415,5634.493000000001
33003862,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""А.Ф. ЗЛАГОДА""","19453, Черкаська обл., Корсунь-Шевченківський р-н, с. Шендерівка (Жашківський р-н, с. Зелений Ріг)",zlago@ukr.net/(04735)9-26-42,7120982401,9099.359999999999,4232.966799999998,0.6634,3.0913999999999993,0.15200000000000005,4229.06
39685082,"ТОВ ""Промислово-технічна группа""","м.Черкаси, вул.Святотроїцька,55а(факт.:АЗСNo106м.Золотоноша,а/д Бориспіль- Дніпропетровськ, км120+700)",anna.piannikova@oilukraine.ck.ua/(0472) 320611,7121500000,8785.772000000004,63.9455,1.5434999999999992,1.3500000000000005,6.779999999999998,54.27199999999996
32579002,Товариство з обмеженою відповідальністю «Реді Гармент Технолоджі Україна»,"11700, Житомирська обл., м.Новоград - Волинський, вул. Житомирська,148",igorlitvinenko@ukr.net/067 412-38-83,6823610100,8746.526100000001,2543.4143,1.1181999999999999,1.1209999999999998,1.0990000000000002,2540.0760999999998
32276472,"Сільськогосподарське товариство з обмеженою відповідальністю ""ЛАН""","63033, Харківська область, Валківський район, с.Черемушна, вул.Широка, 68-А",/057-714-10-94,6321288001,8746.39,5897.610999999999,0.276,2.0999999999999996,8.594999999999999,5886.64
00274453,"ДП ""Чернівецький лісгосп"" (Тарнавське лісництво)","60411, Чернівецька обл., Глибоцький р-н, с.Валя Кузьміна, вул.Головна, 25",dpchlg@gmail.com/(03722) 541840,7320785001,8566.96,7708.200000000003,0.0,1.1199999999999997,6.12,7700.96
41612364,"ТОВ ""КОНВЕРС ЛІНКС""","08114, Київська обл., Києво-Святошинський р-н, с.Стоянка, автодорога Київ-Чоп 20КМ.+925М",tov.konvrslink@gmail.com/(044) 4943111,7423381902,8541.893999999995,766.9897999999995,1.4509999999999987,0.3,7.584799999999995,757.6540000000002
31570412,"АТ ""Укртранснафта"" ЛВДС ""Броди""","01010, м. Київ, вул. Московська, 32/2",/0326634362,4620386401,8511.299,1307.0911999999998,0.3236,8.07,31.828599999999998,1266.8690000000001
25560823,"ПАТ ""Укртрансгаз"" філія УМГ ""Львівтрансгаз"" Угерське ВВРіСП","01021, м. Київ, узвіз Кловський, 9/1",soroka-yn@utg.ua/0324588221,4611200000,8485.107,281.77200000000005,0.474,11.691,0.0,269.60699999999997
31133719,"ТОВ ""Айс Тім""","м.Луцьк, вул. Т.Бульби-Боровця, 19, ю.а.-с.Станишів Житомирського району",bidenkoice@gmail.com/(0412)428128,0710100000,8421.848,1316.789,1.271,1.2700000000000002,2.4000000000000004,1311.848
32414467,"Товариство з обмеженою відповідальністю АГРОФІРМА ""ПОДОЛІВСЬКА""","64701, Харківська область, Барвінківський район, м. Барвінкове, вул. Скрипника, буд.6",/057-752-29-52,6320655100,8207.445,4822.986,0.558,0.6000000000000001,6.033,4815.795000000001
33476189,"ТОВ ""Берег-кабель ГмбХ""","90202, м. Берегово, вул. Богдана Хмельницького, 96",beregkabel@beregkabel.com.ua/0314143125,2110200000,8097.254,1813.39,1.2249999999999999,0.31100000000000005,0.1,1811.754
35519082,"ТОВ ""ГЛАС ТРЬОШ КИЇВ""","м. Київ, Оболонський р-н., вул. Лебединська, 4",/0445946776,4610137500,8059.076,6587.509,0.29300000000000004,0.0,0.14,6587.076
34175746,"Товариство з обмеженою відповідальністю ""Герром Інвест Україна""","32245, Хмельницька обл., Деражнянський р-н, с. Загінці",gua@gerrom.at/0673811141,6821582801,8054.769000000001,379.32950000000005,0.37050000000000005,9.49,22.199999999999996,347.26899999999995
13572598,"Приватне акціонерне товариство ""Обласний Торговий Цетнр""","01015 м. Київ вул Лейпцизька, 15",nik_lv86@ukr.net/0412-22-52-06,1810136600,7880.0,1761.224,1.224,0.0,0.0,1760.0
